"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "cladeDiv_mean" "noncladeDiv_mean" "factor" "incDec" "tree"
"64" 8522 313 "Cacajao_calvus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.209876477557517 0.14069415908849 1.49172132601123 "upShift" 5
"74" 7106 593 "Platymops_setiger_MOLOSSIDAE_CHIROPTERA" "Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA" 5318 0.154974520122257 0.141509908091879 1.0951496062144 "upShift" 5
"84" 9656 1505 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Diomys_crumpi_MURIDAE_RODENTIA" 4406 0.187855779838019 0.130682474178172 1.43749788194167 "upShift" 5
"94" 7707 298 "Vulpes_macrotis_CANIDAE_CARNIVORA" "Caracal_aurata_FELIDAE_CARNIVORA" 5613 0.167399507911144 0.141880802358299 1.17986017226208 "upShift" 5
"104" 6425 180 "Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA" "Hipposideros_gigas_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.158430830459053 0.142472269187514 1.11201170138264 "upShift" 5
"117" 9657 726 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Oecomys_phaeotis_CRICETIDAE_RODENTIA" 5185 0.196621482471666 0.136855644297337 1.43670714847888 "upShift" 5
"124" 8977 291 "Aplodontia_rufa_APLODONTIIDAE_RODENTIA" "Glaucomys_sabrinus_SCIURIDAE_RODENTIA" 5620 0.197620704449236 0.140706181562469 1.40449198645547 "upShift" 5
"134" 8856 91 "Poelagus_marjorita_LEPORIDAE_LAGOMORPHA" "Ochotona_roylei_OCHOTONIDAE_LAGOMORPHA" 5820 0.155851010438719 0.142713667018371 1.09205385647232 "upShift" 5
"144" 6604 194 "Dyacopterus_spadiceus_PTEROPODIDAE_CHIROPTERA" "Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA" 5717 0.168224960207817 0.142124955564748 1.18364125103406 "upShift" 5
"154" 6288 122 "Blarinella_wardi_SORICIDAE_EULIPOTYPHLA" "Sorex_raddei_SORICIDAE_EULIPOTYPHLA" 5789 0.187441384738376 0.142212080996831 1.31804122001809 "upShift" 5
"164" 11230 107 "Microdipodops_pallidus_HETEROMYIDAE_RODENTIA" "Chaetodipus_formosus_HETEROMYIDAE_RODENTIA" 5804 0.172785451057904 0.142408356619657 1.21330977450557 "upShift" 5
"174" 8038 91 "Indopacetus_pacificus_ZIPHIIDAE_CETARTIODACTYLA" "Mesoplodon_perrini_ZIPHIIDAE_CETARTIODACTYLA" 5820 0.177844918930425 0.142440556799506 1.24855534776344 "upShift" 5
"184" 10551 194 "Apomys_datae_MURIDAE_RODENTIA" "Chiropodomys_pusillus_MURIDAE_RODENTIA" 5717 0.203500094938172 0.141485077967408 1.43831489413357 "upShift" 5
"194" 6426 87 "Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA" "Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA" 5824 0.201892771012606 0.1423655425526 1.41812946723406 "upShift" 5
"204" 6893 93 "Uroderma_magnirostrum_PHYLLOSTOMIDAE_CHIROPTERA" "Sturnira_bidens_PHYLLOSTOMIDAE_CHIROPTERA" 5818 0.179140757605868 0.142461917303309 1.25746417707174 "upShift" 5
