generation,N_shifts,logPrior,logLik,eventRate,acceptRate
461000,12,63.7839,-15898.5,6.45785,0.311
462000,13,64.385,-15891.1,5.91154,0.3
463000,13,67.912,-15895.5,7.3674,0.321
464000,14,74.2925,-15892.1,4.89215,0.314
465000,16,68.333,-15857.7,9.58866,0.313333
466000,16,69.433,-15851.3,9.20124,0.326
467000,15,66.4172,-15854.7,5.63121,0.284
468000,15,80.1253,-15889.5,4.60221,0.31075
469000,17,75.1242,-15891.8,8.23677,0.367
470000,14,63.4639,-15929.2,6.83308,0.311417
471000,12,59.1837,-15937.2,5.05444,0.314
472000,14,69.0468,-15897.1,8.69227,0.320333
473000,15,74.4856,-15892.9,8.92638,0.306
474000,16,67.9248,-15892.2,14.0568,0.291
475000,16,66.7155,-15861,13.9655,0.28425
476000,14,65.6059,-15856.1,6.59323,0.27
477000,17,78.2972,-15857.4,9.797,0.291
478000,19,92.0703,-15884.9,8.38537,0.32375
479000,18,81.8152,-15886.6,7.34248,0.351
480000,17,76.0936,-15885,9.22052,0.33
481000,16,69.5626,-15882.6,7.75026,0.335
482000,16,77.7563,-15889.8,10.008,0.341
483000,16,77.0183,-15883,10.479,0.341
484000,16,82.019,-15879,4.76575,0.313
485000,16,78.7798,-15880.6,6.18142,0.327
486000,10,53.2376,-15939.1,4.34542,0.310733
487000,11,55.2518,-15940.2,6.58754,0.296
488000,17,69.8225,-15833.3,10.7337,0.310909
489000,20,80.6231,-15826.9,15.2935,0.293
490000,18,70.5434,-15834.8,8.91307,0.268
491000,19,86.609,-15829,10.0114,0.327
492000,16,83.9448,-15875.1,4.1283,0.301571
493000,15,74.3852,-15886.8,10.5818,0.328
494000,15,73.1883,-15887.2,10.3749,0.308
495000,14,70.7496,-15888.6,8.59653,0.322
496000,15,73.1215,-15889.8,11.0961,0.322
497000,14,69.6823,-15892.9,11.8925,0.316
498000,13,67.0863,-15897.2,7.6513,0.316
499000,13,62.9509,-15896.1,9.82418,0.292
500000,13,62.3489,-15906.2,6.52137,0.286
501000,13,65.7806,-15905.5,7.77715,0.309
502000,14,65.902,-15901.1,11.4305,0.315
503000,18,80.439,-15842.1,7.24283,0.29375
504000,18,81.2316,-15839.1,10.2779,0.272
505000,19,90.7236,-15842.5,8.57208,0.315
506000,20,89.0061,-15834.7,17.8893,0.314
507000,20,91.6,-15838.6,11.8808,0.332
508000,18,78.2886,-15834.1,7.84736,0.322
509000,18,75.3673,-15831.1,11.2787,0.318
510000,14,71.4125,-15929.8,7.27716,0.305957
511000,18,93.6605,-15875.9,7.61918,0.323333
512000,19,97.7556,-15878.5,8.68969,0.321
513000,20,96.5343,-15884.3,10.6114,0.336
514000,22,102.073,-15885.2,10.5771,0.337
515000,22,105.742,-15877.4,10.5653,0.328
516000,9,37.8411,-15982.2,3.88297,0.303352
517000,8,35.297,-15979.1,2.56971,0.303
518000,7,33.0771,-15975.6,2.16129,0.22
519000,7,29.0782,-15977.1,5.08515,0.248
520000,7,32.3063,-15982.3,3.55312,0.293
521000,19,97.7019,-15874.8,11.9905,0.327833
522000,19,94.2284,-15870.9,15.7197,0.325
523000,19,101.371,-15876.9,10.5138,0.319
524000,10,56.4241,-15935.7,4.68813,0.308786
525000,17,74.487,-15841,8.38589,0.293187
526000,19,95.2432,-15884.3,9.17286,0.315333
527000,20,109.528,-15875.6,6.13049,0.329
528000,18,91.2626,-15873.6,11.6677,0.32
529000,17,90.5836,-15873.4,8.61684,0.332
530000,19,90.0132,-15841.5,9.64096,0.3178
531000,20,90.3717,-15837.7,10.7871,0.314
532000,20,92.0536,-15843.1,8.99089,0.277
533000,19,98.5184,-15872.9,11.5646,0.32575
534000,17,93.7716,-15878,8.90241,0.29
535000,17,76.6466,-15827.9,9.32742,0.299333
536000,16,74.3274,-15834.3,5.71476,0.275
